2018-06-07 21:38:52,720 -> 

Iteration Epsilon=50, Mu=5 and Delta=5 has started...
0, 4, 3904 6624 8298 10275 18675
0, 4, 3495 4627 8885 11039 16655
0, 4, 4034 4923 5694 10120 14403 18168
0, 4, 3288 4424 6155 11662 18912
0, 4, 1636 11007 11352 12943 13569 18813
0, 4, 9705 12760 13000 14093 17309
0, 4, 4304 11791 14693 15391 18936
0, 4, 4418 11401 15165 16249 18527
0, 4, 9062 11315 13226 16555 19093
0, 4, 9826 10518 11696 14401 15202 19020
0, 4, 12172 12305 16382 17404 19499
1, 5, 3638 6257 9497 12342 14227
1, 5, 1610 10127 12560 14165 18344
1, 5, 1175 2613 4505 6834 15761
1, 5, 1175 2613 4505 11264 17662
1, 5, 530 6147 10702 11497 17886
1, 5, 8156 8896 13782 15282 18199
1, 5, 7446 8917 10461 14980 16256 17419
1, 5, 7446 8917 10461 16256 17419 19081
1, 5, 5674 7619 12264 12270 12869
1, 5, 1827 15529 15642 16060 16066
1, 5, 2109 6736 10499 14335 17191
1, 5, 4758 7639 8219 14960 16765
1, 5, 1587 2151 2874 7568 18967
1, 5, 8386 9797 13579 14934 19548
1, 5, 8631 9797 13579 14934 19548
1, 5, 859 3796 5453 7240 13420
1, 5, 3015 3796 5453 10599 13420
1, 5, 3015 3796 5453 7240 13420
1, 5, 268 3620 5750 6703 11720 16463 18265
1, 5, 268 3620 5750 6703 8219 16463 18265
1, 5, 3620 5750 6703 8134 8609 11720 16463 18063 18265
1, 5, 3620 5750 7639 8219 16463 16765 18063 18265
1, 5, 3620 5750 6703 8134 8219 8609 16463 16765 18063 18265
1, 5, 1400 7249 9707 14445 16616 16699
1, 5, 1400 7249 9707 10156 16616 16699
1, 5, 1400 7249 10156 14445 16616 16699 18844
1, 5, 1400 9028 12085 14638 16219 18844
1, 5, 1400 7249 12085 14638 16219
1, 5, 1400 9028 10156 12085 14638 18844
1, 5, 1400 7249 10156 12085 14638 18844
1, 5, 1400 7249 10156 12085 16699 18844
1, 5, 1400 7249 12085 14638 16699 18844
1, 5, 2272 9707 14445 16616 16699
1, 5, 2272 6498 9707 14445 16616
1, 5, 5750 6703 8134 11720 13551 18265
1, 5, 5750 8134 8609 11720 13551 18063 18265
1, 5, 3062 3216 13551 15908 18028
1, 5, 1187 3525 5281 8667 15606
1, 5, 2069 7288 10553 13112 13493
1, 5, 6393 8179 8328 9373 19295
1, 5, 6105 6794 8042 12517 15804
1, 5, 7903 8090 10967 11380 13296
1, 5, 5595 13294 13884 14886 16507
1, 5, 11235 13294 13884 14886 16507
